序号,名称,网址后缀
125,['[考研][新东方考研数学全程班[珍藏版]之强化班][视频][天天向上考研]'],['/torrents/548926/']
126,['[计算机][C#4.0中文视频教程][视频][内含教学源代码]'],['/torrents/548224/']
127,"['[计算机][黑马程序员张泽华Adroid4.0安卓开发视频教程完整版][视频][AVI格式,转自六维]']",['/torrents/548160/']
128,"['[计算机][机器学习-斯坦福-Andrew NG-2012][视频][新手发种~~内涵详细的讲义,作业及解答]']",['/torrents/547644/']
129,['[计算机][《深入理解Linux内核(第3版)(含英文原版)》][文档][《深入理解Linux内核(第3版)(含英文原版)》PDF]'],['/torrents/547390/']
130,['[吉他自学三月通][视频][视频教程+电子书]'],['/torrents/546662/']
131,"['[理工类][集成电路领域N本参考书pdf版][文档][集成电路领域若干参考书,含半导体物理/集成电路设计与制造工艺/mems/模拟电路设计等]']",['/torrents/546000/']
132,['[计算机][ANSYS ICEM CFD 视频教程avi][视频][补种]'],['/torrents/545980/']
133,['[计算机][Photoshop CS6中文教程+素材资源][视频][mp4]'],['/torrents/545965/']
134,['[开放课程][Creating an Effective Resume][视频][Lynda出品简历制作教程]'],['/torrents/545678/']
135,['[人文社会][人类文明史图鉴 全24卷 彩图中文版][视频][历史哲学]'],['/torrents/542384/']
136,['[1600本kindle书籍][文档][mobi]'],['/torrents/540390/']
137,['[开放课程][Z斯坦福大学-七个颠覆你思想的演讲-公开课][视频]'],['/torrents/539251/']
138,['[课件][北师大心理学课程][视频]'],['/torrents/538434/']
139,['[人文社会][中外经典名著1000部][文档][无]'],['/torrents/537437/']
140,['[计算机][Android游戏开发大全随书光盘][视频][Android游戏开发大全随书光盘(有视频和代码)]'],['/torrents/537277/']
141,['[理工类][杜洋入门PCB设计][视频][无]'],['/torrents/522359/']
142,['[人文社会][民谣吉他教程&教学视频&吉他教学软件&曲谱][视频]'],['/torrents/521911/']
143,['[计算机][小甲鱼C++快速入门培训视频][视频][小甲鱼C++快速入门培训]'],['/torrents/516589/']
144,['[魔术学习完全攻略资料包][视频][各种大师魔术教学]'],['/torrents/515730/']
145,['[外语][新概念英语1-4册PDF+MP3][音频][新概念英语 1-4册PDF 1-4册MP3]'],['/torrents/515047/']
146,['[计算机][Photoshop CS5 高手之路][视频][mov随书光盘李涛主讲]'],['/torrents/514201/']
147,['[外语][英语六级真题2006年6月-2013年6月MP3][音频][2013年12月新东方英语六级历年真题精解配套光盘]'],['/torrents/513876/']
148,['[吴师自通 单反摄影合集][视频][适合新手入门的摄影教程]'],['/torrents/513797/']
149,"['[计算机][Qt学习视频][视频][Qt开发视频指导,广大开发人员都期待的教程]']",['/torrents/512451/']
150,['[外语][听英语-BBC 美丽中国-wild china六集全 2008][音频][2008]'],['/torrents/512248/']
151,['[计算机][收集！《计算机科学45部经典著作》中文版][文档][个人整理的计算机科学的45部中文版的经典著作.在各个资源网站上找了好久！]'],['/torrents/510565/']
152,['[外语][2014文都刘一男《考研词汇速记指南》][视频][全套]'],['/torrents/507482/']
153,['[黄天仁的美女摄影秘诀大公开][文档][pdf]'],['/torrents/507278/']
154,['[美女写真摄影诀窍完全解说][文档][pdf]'],['/torrents/507277/']
155,['[ 美少女外拍动作图解×100][文档][pdf]'],['/torrents/507274/']
156,['[计算机][C++从新手到高手][视频][c++学习]'],['/torrents/507253/']
157,['[小米3宣传][文档][小米公司2013年9月5号小米3发布会宣传]'],['/torrents/507178/']
158,"['[计算机][JavaScript.DOM高级程序设计][文档][Jeffrey Sambells,Aaron Gustafson著]']",['/torrents/507036/']
159,['[会声会影-从入门到精通视频教程][视频]'],['/torrents/506734/']
160,['[淘宝开店全面教程][文档][淘宝开店书籍]'],['/torrents/506283/']
161,['[计算机][龙星计划机器学习][视频][课程视频及课件]'],['/torrents/459012/']
162,['[开放课程][斯坦福大学开放课程全集]'],['/torrents/456711/']
163,['[计算机][人工智能书籍合集][文档][PDF]'],['/torrents/455351/']
164,['[计算机][黑客安全书籍合集][文档][PDF]'],['/torrents/455334/']
165,['[计算机][详解MATLAB快速入门与应用][ISO]'],['/torrents/455074/']
166,['[商务印书馆汉译世界学术名著丛书][文档][PDF]'],['/torrents/446970/']
