序号,名称,网址后缀
95,"[""[大陆][2021][刺杀小说家 / Assassin in Red][A Writer's Odyssey 2021 WEB-DL 1080p H264 DD5.1-HDSWEB][雷佳音 / 杨幂 / 董子健][剧情/动作/奇幻/冒险][WEB-DL][1080P][自带中英字幕]""]",['/torrents/609975/']
96,['[2010][罗马的房子/罗马欲乐园(台) / 罗马夜禁色(港) / 罗马的房间][Room.in.Rome.2010.ES.BluRay.1920x816p.x264.DTS-KOOK.中英双字][埃伦娜?安纳亚 / 娜塔莎?亚罗温科 / 恩里克?洛维索 / 纳瓦?尼姆利 / Ander Mall][剧情/其他][Blu-Ray][720P][自带中英字幕]'],['/torrents/609968/']
97,['[美国][2019][血战摩苏尔/摩苏尔][Mosul.2019.1080p.BluRay.DTS-HD.MA.5.1.x265-10bit-HDS][战争][Blu-Ray][1080P][自带中文字幕]'],['/torrents/609964/']
98,['[美国][2006][超人归来/超人再起/超人:强战回归][Superman.Returns.2006.1080p.BluRay.x265.10bit.DTS-PTH][动作/科幻/冒险][Blu-Ray][1080P][自带中文字幕]'],['/torrents/609963/']
99,['[大陆][2021][新神榜:哪吒重生][New Gods Nezha Reborn 2021 WEB-DL 1080p H264 AAC-HDSWEB][杨天翔 张赫 宣晓鸣 李诗萌 朱可儿][剧情/动作/奇幻/动画][WEB-DL][1080P][自带中文字幕]'],['/torrents/609962/']
100,['[香港][2010][撕票风云][Black.Ransom.2010.1080p.BluRay.x265.10bit.DTS.2Audio-PTH][动作/惊悚][Blu-Ray][1080P][自带英文字幕]'],['/torrents/609958/']
101,['[美国][2020][无依之地/游牧人生(台) / 浪迹天地(港) / 游牧之地][Nomadland.2020.1080p.WEBRip.x265-RARBG][弗兰西斯?麦克多蒙德 / 大卫?斯特雷泽恩 / 德里克?贾尼斯][剧情/传记][WEBRip][1080P][自带英文字幕]'],['/torrents/609855/']
102,['[美国][2020][打开心世界/新世界/未来世界 / 未来将至 / 将至的世界][The.World.to.Come.2020.1080p.WEBRip.DDP5.1.x264-CM][凯瑟琳?沃特斯顿 / 凡妮莎?柯比 / 克里斯托弗?阿波特 ][剧情][WEBRip][1080P][自带英文字幕]'],['/torrents/609852/']
103,['[美国][1995][盗火线][Heat.1995.REMASTERED.1080p.BluRay.x265-RARBG][阿尔?帕西诺 / 罗伯特?德尼罗 / 方?基默 / 强?沃特 / 汤姆?塞兹摩尔 ][剧情/动作/犯罪][Blu-Ray][1080P][自带中英字幕]'],['/torrents/609851/']
104,['[美国][2021][弗罗拉与松鼠侠][Flora.and.Ulysses.2021.HD1080P.AVC.AAC][丽森?汉妮根 / 本?施瓦茨 / 丹尼?朴迪 / 凯特?米库奇 / 鲍比?莫尼汉 / 本杰明?埃文?][喜剧/冒险][HDTV][1080P][自带中文字幕]'],['/torrents/609846/']
105,['[大陆][2020][吉祥如意][The.Reunions.2020.4K.WEB-DL.H265.HDR10.10bit.DD5.1-PTerWEB][王吉祥/大鹏/刘陆][剧情/家庭/纪录][WEB-DL][4K][自带中英字幕]'],['/torrents/609845/']
106,"[""[大陆][2020][别叫我酒神][Don't.Call.Me.Bacchus.2020.WEB-DL.2160p.H265.AAC-PTHweb][宋晓峰 / 秦立洋 / 崔菁格][喜剧][WEB-DL][1080P][自带中文字幕]""]",['/torrents/609844/']
107,['[日本][2019][假面饭店][The Masquerade Hotel 2019 4K WEB-DL H265 DDP5.1-PuTao][木村拓哉 / 长泽雅美*丨内嵌中日双语Dolby音轨 *EDR高码版*][剧情/犯罪/悬疑][WEB-DL][4K][自带中文字幕]'],['/torrents/609840/']
108,['[美国][2020][怪物猎人][Monster.Hunter.2020.2160p.AMZN.WEB-DL.x265.10bit.HDR10plus.DDP5.1-SWTYBLZ][米拉?乔沃维奇/托尼?贾/山崎菜/朗?普尔曼][动作/奇幻/冒险][WEB-DL][4K][附件中文字幕]'],['/torrents/609829/']
